question_id,db_id,category,technique,plan_steps,basic_sql,robust_sql,notes,exact_match,exec_match,select_precision,select_recall,select_f1,where_precision,where_recall,where_f1,group_precision,group_recall,group_f1,order_precision,order_recall,order_f1,having_precision,having_recall,having_f1
stage1_0,car_1,filter_agg,fewshot,3,SELECT COUNT(*) FROM cars_data WHERE Cylinders > 6,WITH filtered AS (SELECT * FROM cars_data WHERE Cylinders > 6) SELECT COUNT(*) FROM filtered,No quality-repairs required,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_1,cre_Doc_Template_Mgt,filter_agg,fewshot,4,SELECT COUNT(*) AS document_count FROM Documents,"WITH base AS (SELECT * FROM Documents), dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Document_ID ORDER BY rowid DESC) AS rn FROM base) SELECT COUNT(*) AS document_count FROM dedup WHERE rn = 1",No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_2,orchestra,filter_agg,fewshot,3,SELECT COUNT(DISTINCT Nationality) AS distinct_nationalities FROM conductor,WITH dedup AS (SELECT DISTINCT Nationality FROM conductor) SELECT COUNT(*) AS distinct_nationalities FROM dedup,No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_3,dog_kennels,filter_agg,fewshot,3,SELECT AVG(age) AS average_age FROM Dogs,"WITH capped AS (SELECT *, MIN(age, 9.0) AS age_capped FROM Dogs) SELECT AVG(age_capped) AS average_age FROM capped",Cap the `age` values at the profiled p95=9.0 before calculating the average.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_4,student_transcripts_tracking,filter_agg,fewshot,3,SELECT * FROM Sections WHERE section_name = 'h',"WITH base AS (SELECT * FROM Sections), dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY section_name ORDER BY rowid DESC) AS rn FROM base) SELECT * FROM dedup WHERE rn = 1 AND section_name = 'h'",No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_5,cre_Doc_Template_Mgt,filter_agg,fewshot,3,"SELECT Template_ID FROM Templates WHERE Template_Type_Code IN ('PP', 'PPT')","WITH filtered AS (SELECT * FROM Templates WHERE Template_Type_Code IN ('PP', 'PPT')), dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Template_ID ORDER BY rowid DESC) AS rn FROM filtered) SELECT Template_ID FROM dedup WHERE rn = 1",No quality-repairs required.,False,True,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_6,orchestra,filter_agg,fewshot,5,SELECT Name FROM conductor WHERE Nationality <> 'USA',"WITH dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Name ORDER BY rowid DESC) AS rn FROM conductor WHERE Nationality <> 'USA') SELECT Name FROM dedup WHERE rn = 1",No quality-repairs required.,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_7,student_transcripts_tracking,filter_agg,fewshot,4,SELECT COUNT(*) AS total_courses FROM Courses,"WITH dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY course_id ORDER BY rowid DESC) AS rn FROM Courses) SELECT COUNT(*) AS total_courses FROM dedup WHERE rn = 1",No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_8,car_1,filter_agg,fewshot,4,SELECT AVG(MPG) AS avg_mpg FROM cars_data WHERE Cylinders = 4,"WITH filtered AS (SELECT MPG FROM cars_data WHERE Cylinders = 4) SELECT ROUND(AVG(MPG), 2) AS avg_mpg FROM filtered",No quality-repairs required,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_9,cre_Doc_Template_Mgt,filter_agg,fewshot,3,SELECT COUNT(DISTINCT Template_ID) AS distinct_template_count FROM Documents,"WITH dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Template_ID ORDER BY Document_ID DESC) AS rn FROM Documents) SELECT COUNT(*) AS distinct_template_count FROM dedup WHERE rn = 1",No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_10,orchestra,filter_agg,fewshot,6,"SELECT Name, COUNT(*) AS Years_Worked FROM conductor GROUP BY Name ORDER BY Years_Worked DESC","WITH dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Conductor_ID ORDER BY rowid DESC) AS rn FROM conductor), grouped AS (SELECT Name, COUNT(*) AS Years_Worked FROM dedup GROUP BY Name) SELECT Name, Years_Worked FROM grouped ORDER BY Years_Worked DESC",No quality-repairs required.,False,False,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
stage1_11,dog_kennels,filter_agg,fewshot,3,"SELECT COUNT(*) FROM Dogs WHERE CAST(REPLACE(age, ',', '') AS REAL) < (SELECT AVG(CAST(REPLACE(age, ',', '') AS REAL)) FROM Dogs)","WITH avg_age AS (SELECT AVG(CAST(REPLACE(age, ',', '') AS REAL)) AS avg_age_val FROM Dogs), filtered_dogs AS (SELECT * FROM Dogs WHERE CAST(REPLACE(age, ',', '') AS REAL) < (SELECT avg_age_val FROM avg_age)) SELECT COUNT(*) FROM filtered_dogs",No quality-repairs required.,False,False,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_12,dog_kennels,filter_agg,fewshot,3,"SELECT DISTINCT email_address FROM Professionals WHERE state IN ('Hawaii', 'Wisconsin')","WITH dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY email_address ORDER BY rowid DESC) AS rn FROM Professionals) SELECT DISTINCT email_address FROM dedup WHERE rn = 1 AND state IN ('Hawaii', 'Wisconsin')",No quality-repairs required.,False,True,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
