question_id,db_id,context,technique,basic_sql,robust_sql,rel_error_mean,abs_error_mean,dq_robust_1pct,dq_robust_2pct,dq_robust_5pct,mape,mae,bias,literal_acc,dq_note_coverage
stage2_0,car_1,schema_only,sc,"SELECT DISTINCT T2.MakeId, T2.Make FROM cars_data AS T1 JOIN car_names AS T2 ON T1.MakeId = T2.MakeId WHERE T1.Horsepower <> (SELECT MIN(Horsepower) FROM cars_data) AND T1.Cylinders < 4","WITH min_horsepower AS (SELECT MIN(CAST(REPLACE(Horsepower, ',', '') AS REAL)) AS min_hp FROM cars_data), filtered_cars AS (SELECT DISTINCT T2.MakeId, T2.Make FROM cars_data AS T1 JOIN car_names AS T2 ON T1.MakeId = T2.MakeId WHERE CAST(REPLACE(T1.Horsepower, ',', '') AS REAL) > (SELECT min_hp FROM min_horsepower) AND T1.Cylinders < 4) SELECT * FROM filtered_cars",0.0,0.0,0.8372881355932204,0.8440677966101695,0.8508474576271187,11.031448322360001,100.15759141114191,-77.6179345480075,0.3683615819209039,1.0
stage2_1,student_transcripts_tracking,schema_only,sc,"SELECT tc.course_id, COUNT(DISTINCT tc.transcript_id) AS transcript_frequency, MIN(tc.student_course_id) AS enrollment_id FROM Transcript_Contents AS tc GROUP BY tc.course_id ORDER BY transcript_frequency DESC LIMIT 1","WITH Deduped_Transcript_Contents AS (SELECT DISTINCT student_course_id, course_id, transcript_id FROM Transcript_Contents) SELECT dttc.course_id, COUNT(DISTINCT dttc.transcript_id) AS transcript_frequency, MIN(dttc.student_course_id) AS enrollment_id FROM Deduped_Transcript_Contents AS dttc GROUP BY dttc.course_id ORDER BY transcript_frequency DESC LIMIT 1",0.0,0.0,0.8372881355932204,0.8440677966101695,0.8508474576271187,11.031448322360001,100.15759141114191,-77.6179345480075,0.3683615819209039,1.0
stage2_2,student_transcripts_tracking,schema_only,sc,"SELECT s.semester_id, s.semester_name FROM Students AS st JOIN Student_Enrolment AS se ON st.student_id = se.student_id JOIN Semesters AS s ON se.semester_id = s.semester_id WHERE NOT st.date_first_registered IS NULL GROUP BY s.semester_id, s.semester_name ORDER BY COUNT(st.student_id) DESC LIMIT 1","WITH Deduped_Students AS (SELECT DISTINCT student_id FROM Students), Deduped_Student_Enrolment AS (SELECT DISTINCT student_id, semester_id FROM Student_Enrolment) SELECT s.semester_id, s.semester_name FROM Deduped_Students AS ds JOIN Deduped_Student_Enrolment AS dse ON ds.student_id = dse.student_id JOIN Semesters AS s ON dse.semester_id = s.semester_id GROUP BY s.semester_id, s.semester_name ORDER BY COUNT(ds.student_id) DESC LIMIT 1",0.0,0.0,0.8372881355932204,0.8440677966101695,0.8508474576271187,11.031448322360001,100.15759141114191,-77.6179345480075,0.3683615819209039,1.0
stage2_3,student_transcripts_tracking,schema_only,sc,SELECT DISTINCT s.last_name FROM Students AS s LEFT JOIN Student_Enrolment AS se ON s.student_id = se.student_id WHERE s.state_province_county = 'North Carolina' AND se.student_id IS NULL,"WITH Deduped_Students AS (SELECT DISTINCT student_id, first_name, middle_name, last_name, cell_mobile_number, email_address, ssn, date_first_registered, date_left, other_student_details, current_address_id, permanent_address_id FROM Students), Deduped_Student_Enrolment AS (SELECT DISTINCT student_enrolment_id, degree_program_id, semester_id, student_id, other_details FROM Student_Enrolment) SELECT DISTINCT ds.last_name FROM Deduped_Students AS ds LEFT JOIN Deduped_Student_Enrolment AS dse ON ds.student_id = dse.student_id WHERE ds.state_province_county = 'North Carolina' AND dse.student_id IS NULL",0.0,0.0,0.8372881355932204,0.8440677966101695,0.8508474576271187,11.031448322360001,100.15759141114191,-77.6179345480075,0.3683615819209039,1.0
stage2_4,car_1,schema_only,sc,SELECT COUNT(ContId) AS NumberOfContinents FROM continents,"WITH CleanedContinents AS (SELECT DISTINCT ContId, Continent FROM continents) SELECT COUNT(ContId) AS NumberOfContinents FROM CleanedContinents",0.2,1.0,0.8372881355932204,0.8440677966101695,0.8508474576271187,11.031448322360001,100.15759141114191,-77.6179345480075,0.3683615819209039,1.0
stage2_5,car_1,schema_only,sc,"SELECT cm.Id, cm.Maker FROM model_list AS ml JOIN car_makers AS cm ON ml.Maker = cm.Id GROUP BY cm.Id, cm.Maker HAVING COUNT(ml.ModelId) >= 2","WITH DedupedModels AS (SELECT DISTINCT ModelId, Maker FROM model_list), FilteredMakers AS (SELECT dm.Maker, cm.Id FROM DedupedModels AS dm JOIN car_makers AS cm ON dm.Maker = cm.Id GROUP BY dm.Maker, cm.Id HAVING COUNT(dm.ModelId) >= 2) SELECT fm.Id, fm.Maker FROM FilteredMakers AS fm",8.142857142857142,8.142857142857142,0.8372881355932204,0.8440677966101695,0.8508474576271187,11.031448322360001,100.15759141114191,-77.6179345480075,0.3683615819209039,1.0
stage2_6,car_1,schema_only,sc,"SELECT COUNT(*) FROM (SELECT DISTINCT c.CountryId, c.CountryName FROM countries AS c JOIN car_makers AS cm ON c.Continent = cm.Country GROUP BY c.CountryId, c.CountryName HAVING COUNT(DISTINCT cm.Maker) > 2)","WITH DistinctCountries AS (SELECT DISTINCT CountryId, CountryName FROM countries), CarMakerCounts AS (SELECT dc.CountryId, dc.CountryName, COUNT(DISTINCT cm.Maker) AS MakerCount FROM DistinctCountries AS dc JOIN car_makers AS cm ON dc.Continent = cm.Country GROUP BY dc.CountryId, dc.CountryName) SELECT COUNT(*) FROM CarMakerCounts WHERE MakerCount > 2",1.0,13.0,0.8372881355932204,0.8440677966101695,0.8508474576271187,11.031448322360001,100.15759141114191,-77.6179345480075,0.3683615819209039,1.0
stage2_7,car_1,schema_only,sc,SELECT COUNT(*) FROM cars_data WHERE Accelerate > (SELECT MAX(Horsepower) FROM cars_data),"WITH max_horsepower AS (SELECT MAX(Horsepower) AS max_hp FROM cars_data), filtered_cars AS (SELECT * FROM cars_data WHERE Accelerate > (SELECT max_hp FROM max_horsepower)) SELECT COUNT(*) FROM filtered_cars",0.0,0.0,0.8372881355932204,0.8440677966101695,0.8508474576271187,11.031448322360001,100.15759141114191,-77.6179345480075,0.3683615819209039,1.0
stage2_8,car_1,schema_only,sc,SELECT MIN(Weight) AS MinWeight FROM cars_data WHERE Cylinders = 8 AND Year = 1974,"WITH filtered_cars AS (SELECT Id, Weight FROM cars_data WHERE Cylinders = 8 AND Year = 1974), deduped_cars AS (SELECT DISTINCT Id, Weight FROM filtered_cars) SELECT MIN(Weight) AS MinWeight FROM deduped_cars",0.0,0.0,0.8372881355932204,0.8440677966101695,0.8508474576271187,11.031448322360001,100.15759141114191,-77.6179345480075,0.3683615819209039,1.0
stage2_9,student_transcripts_tracking,schema_only,sc,SELECT DISTINCT s.last_name FROM Students AS s LEFT JOIN Student_Enrolment AS se ON s.student_id = se.student_id WHERE s.state_province_county = 'North Carolina' AND se.student_id IS NULL,"WITH DistinctStudents AS (SELECT DISTINCT student_id, last_name FROM Students), DistinctEnrolments AS (SELECT DISTINCT student_enrolment_id, student_id FROM Student_Enrolment) SELECT ds.last_name FROM DistinctStudents AS ds LEFT JOIN DistinctEnrolments AS de ON ds.student_id = de.student_id WHERE ds.state_province_county = 'North Carolina' AND de.student_id IS NULL",0.0,0.0,0.8372881355932204,0.8440677966101695,0.8508474576271187,11.031448322360001,100.15759141114191,-77.6179345480075,0.3683615819209039,1.0
