question_id,db_id,category,technique,plan_steps,basic_sql,robust_sql,notes,exact_match,exec_match,select_precision,select_recall,select_f1,where_precision,where_recall,where_f1,group_precision,group_recall,group_f1,order_precision,order_recall,order_f1,having_precision,having_recall,having_f1
stage1_0,car_1,filter_agg,cot,6,SELECT COUNT(Id) AS CarCount FROM cars_data WHERE Cylinders > 6,"WITH cleaned_cars_data AS (SELECT DISTINCT Id, CASE WHEN Cylinders IS NULL OR Cylinders <= 0 THEN 6 /* Assuming minimum valid cylinder count is 6 */ ELSE Cylinders END AS Cylinders FROM cars_data) SELECT COUNT(Id) AS CarCount FROM cleaned_cars_data WHERE Cylinders > 6",### NOTES | No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_1,cre_Doc_Template_Mgt,filter_agg,cot,5,SELECT COUNT(*) AS Total_Documents FROM Documents,"WITH base AS (SELECT * FROM Documents), dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Document_ID ORDER BY rowid DESC) AS rn FROM base) SELECT COUNT(*) AS Total_Documents FROM dedup WHERE rn = 1",### NOTES | No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_2,orchestra,filter_agg,cot,5,SELECT COUNT(DISTINCT Nationality) AS Different_Nationalities FROM conductor,"WITH dedup AS (SELECT Nationality, ROW_NUMBER() OVER (PARTITION BY Nationality ORDER BY rowid DESC) AS rn FROM conductor) SELECT COUNT(DISTINCT Nationality) AS Different_Nationalities FROM dedup WHERE rn = 1",### NOTES | No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_3,dog_kennels,filter_agg,cot,6,SELECT AVG(CAST(age AS REAL)) AS avg_age FROM Dogs,"WITH capped AS (SELECT *, MIN(CAST(age AS REAL), 9.0) AS age_capped FROM Dogs), dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY dog_id ORDER BY rowid DESC) AS rn FROM capped) SELECT AVG(age_capped) AS avg_age FROM dedup WHERE rn = 1",### NOTES | No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_4,student_transcripts_tracking,filter_agg,cot,6,SELECT * FROM Sections WHERE section_name = 'h',"WITH base AS (SELECT * FROM Sections), dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY section_name ORDER BY rowid DESC) AS rn FROM base), capped AS (SELECT *, MIN(section_id, 14.0) AS section_id_capped FROM dedup) SELECT * FROM capped WHERE rn = 1 AND section_name = 'h'",### NOTES | No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_5,cre_Doc_Template_Mgt,filter_agg,cot,5,"SELECT DISTINCT Template_ID FROM Templates WHERE Template_Type_Code IN ('PP', 'PPT')","WITH filtered AS (SELECT * FROM Templates WHERE Template_Type_Code IN ('PP', 'PPT')), dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Template_ID ORDER BY rowid DESC) AS rn FROM filtered) SELECT Template_ID FROM dedup WHERE rn = 1",### NOTES | No quality-repairs required.,False,True,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_6,orchestra,filter_agg,cot,4,SELECT Name FROM conductor WHERE Nationality <> 'USA',"WITH dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Conductor_ID ORDER BY rowid DESC) AS rn FROM conductor) SELECT Name FROM dedup WHERE rn = 1 AND Nationality <> 'USA'",### NOTES | No quality-repairs required.,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_7,student_transcripts_tracking,filter_agg,cot,6,SELECT COUNT(*) AS total_courses FROM (SELECT DISTINCT course_id FROM Courses),"WITH dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY course_id ORDER BY rowid DESC) AS rn FROM Courses) SELECT COUNT(*) AS total_courses FROM dedup WHERE rn = 1",### NOTES | No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_8,car_1,filter_agg,cot,3,SELECT AVG(MPG) AS AvgMPG FROM cars_data WHERE Cylinders = 4,"WITH cleaned_cars_data AS (SELECT DISTINCT Id, MPG, Cylinders, Edispl, Horsepower, Weight, Accelerate, Year FROM cars_data) SELECT AVG(MPG) AS AvgMPG FROM cleaned_cars_data WHERE Cylinders = 4",### NOTES | No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_9,cre_Doc_Template_Mgt,filter_agg,cot,3,SELECT COUNT(DISTINCT Template_ID) AS Unique_Templates FROM Documents,"WITH dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Document_ID ORDER BY rowid DESC) AS rn FROM Documents) SELECT COUNT(DISTINCT Template_ID) AS Unique_Templates FROM dedup WHERE rn = 1",### NOTES | No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
