question_id,db_id,context,technique,basic_sql,robust_sql,rel_error_mean,abs_error_mean,dq_robust_1pct,dq_robust_2pct,dq_robust_5pct,mape,mae,bias,literal_acc,dq_note_coverage
stage2_0,car_1,rag_topk5,sc,SELECT MAX(MPG) AS MaxMPG FROM cars_data WHERE Cylinders = 8 OR Year < 1980,"WITH capped_mpg AS (SELECT MIN(MPG, 37.0) AS MPG_capped FROM cars_data), dedup_cars_data AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Id ORDER BY rowid DESC) AS rn FROM cars_data) SELECT MAX(c.MPG_capped) AS MaxMPG FROM capped_mpg AS c JOIN dedup_cars_data AS d ON c.MPG_capped = d.MPG_capped WHERE d.Cylinders = 8 OR d.Year < 1980 AND d.rn = 1",0.0,0.0,0.726027397260274,0.726027397260274,0.7294520547945206,0.3271567536978496,271.5534087063321,-271.3958744597567,0.4246575342465753,1.0
stage2_1,car_1,rag_topk5,sc,SELECT MIN(Weight) AS MinWeight FROM cars_data WHERE Cylinders = 8 AND Year = 1974,"WITH base AS (SELECT * FROM cars_data), dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Id ORDER BY rowid DESC) AS rn FROM base) SELECT MIN(Weight) AS MinWeight FROM dedup WHERE Cylinders = 8 AND Year = 1974",1.0,4141.0,0.726027397260274,0.726027397260274,0.7294520547945206,0.3271567536978496,271.5534087063321,-271.3958744597567,0.4246575342465753,1.0
stage2_2,car_1,rag_topk5,sc,"SELECT AVG(CAST(REPLACE(Horsepower, ',', '') AS REAL)) AS AvgHorsepower FROM cars_data WHERE CAST(REPLACE(YEAR, ',', '') AS INTEGER) < 1980","WITH cleaned_data AS (SELECT *, REPLACE(Horsepower, ',', '') AS Horsepower_cleaned, REPLACE(Year, ',', '') AS Year_cleaned FROM cars_data), dedup_data AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Id ORDER BY rowid DESC) AS rn FROM cleaned_data), filtered_data AS (SELECT * FROM dedup_data WHERE rn = 1 AND CAST(Year_cleaned AS INTEGER) < 1980) SELECT AVG(CAST(Horsepower_cleaned AS REAL)) AS AvgHorsepower FROM filtered_data",0.0,0.0,0.726027397260274,0.726027397260274,0.7294520547945206,0.3271567536978496,271.5534087063321,-271.3958744597567,0.4246575342465753,1.0
stage2_3,car_1,rag_topk5,sc,SELECT AVG(cars_data.Edispl) AS Avg_Edispl FROM car_makers JOIN model_list ON car_makers.Id = model_list.Maker JOIN cars_data ON model_list.ModelId = cars_data.Model,"WITH car_makers_dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Id ORDER BY rowid DESC) AS rn FROM car_makers), model_list_dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Maker ORDER BY rowid DESC) AS rn FROM model_list), cars_data_dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Id ORDER BY rowid DESC) AS rn FROM cars_data) SELECT AVG(cars_data_dedup.Edispl) AS Avg_Edispl FROM car_makers_dedup JOIN model_list_dedup ON car_makers_dedup.Id = model_list_dedup.Maker JOIN cars_data_dedup ON model_list_dedup.ModelId = cars_data_dedup.Model WHERE car_makers_dedup.Maker = 'Volvo'",0.0,0.0,0.726027397260274,0.726027397260274,0.7294520547945206,0.3271567536978496,271.5534087063321,-271.3958744597567,0.4246575342465753,1.0
stage2_4,student_transcripts_tracking,rag_topk5,sc,"SELECT c.course_id, c.course_name, COUNT(s.section_id) AS section_count FROM Courses AS c JOIN Sections AS s ON c.course_id = s.course_id GROUP BY c.course_id, c.course_name HAVING COUNT(s.section_id) <= 2","WITH Safe_Courses AS (SELECT *, MIN(COALESCE(course_id, 8.0), 14.0) AS course_id_safe FROM Courses), Safe_Sections AS (SELECT *, MIN(COALESCE(course_id, 8.0), 14.0) AS course_id_safe FROM Sections), Dedup_Courses AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY course_id ORDER BY rowid DESC) AS rn FROM Safe_Courses), Dedup_Sections AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY course_id ORDER BY rowid DESC) AS rn FROM Safe_Sections) SELECT dc.course_id, dc.course_name, COUNT(ds.section_id) AS section_count FROM Dedup_Courses AS dc JOIN Dedup_Sections AS ds ON dc.course_id = ds.course_id GROUP BY dc.course_id, dc.course_name HAVING COUNT(ds.section_id) <= 2",0.0,0.0,0.726027397260274,0.726027397260274,0.7294520547945206,0.3271567536978496,271.5534087063321,-271.3958744597567,0.4246575342465753,1.0
stage2_5,car_1,rag_topk5,sc,"SELECT c.ContinentId, c.Continent, COUNT(co.CountryId) AS CountryCount FROM continents AS c JOIN countries AS co ON c.ContId = co.Continent GROUP BY c.ContinentId, c.Continent","WITH safe_countries AS (SELECT *, MIN(CountryId, 14.0) AS CountryId_capped FROM countries), safe_continents AS (SELECT *, MIN(ContId, 5) AS ContId_capped FROM continents) SELECT sc.ContinentId, sc.Continent, COUNT(sco.CountryId) AS CountryCount FROM safe_continents AS sc JOIN safe_countries AS sco ON sc.ContId = sco.Continent GROUP BY sc.ContinentId, sc.Continent",0.0,0.0,0.726027397260274,0.726027397260274,0.7294520547945206,0.3271567536978496,271.5534087063321,-271.3958744597567,0.4246575342465753,1.0
stage2_6,student_transcripts_tracking,rag_topk5,sc,"SELECT degree_program_id, COUNT(*) AS enrollment_count FROM Student_Enrolment GROUP BY degree_program_id ORDER BY enrollment_count DESC LIMIT 1","WITH base AS (SELECT * FROM Student_Enrolment), dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY degree_program_id ORDER BY rowid DESC) AS rn FROM base) SELECT degree_program_id, COUNT(*) AS enrollment_count FROM dedup WHERE rn = 1 GROUP BY degree_program_id ORDER BY enrollment_count DESC LIMIT 1",1.0,3.0,0.726027397260274,0.726027397260274,0.7294520547945206,0.3271567536978496,271.5534087063321,-271.3958744597567,0.4246575342465753,1.0
stage2_7,car_1,rag_topk5,sc,SELECT COUNT(DISTINCT T2.Model) FROM car_makers AS T1 JOIN model_list AS T2 ON T1.Id = T2.Maker WHERE T1.Maker = 'American Motor Company',"WITH safe_car_makers AS (SELECT *, MIN(Id, 22) AS Id_capped, MIN(Maker, 'American Motor Company') AS Maker_capped FROM car_makers), safe_model_list AS (SELECT *, MIN(Maker, 22) AS Maker_capped, MIN(Model, '') AS Model_capped FROM model_list) SELECT COUNT(DISTINCT T2.Model_capped) FROM safe_car_makers AS T1 JOIN safe_model_list AS T2 ON T1.Id_capped = T2.Maker_capped WHERE T1.Maker_capped = 'American Motor Company'",1.0,1.0,0.726027397260274,0.726027397260274,0.7294520547945206,0.3271567536978496,271.5534087063321,-271.3958744597567,0.4246575342465753,1.0
stage2_8,car_1,rag_topk5,sc,SELECT COUNT(DISTINCT T2.Continent) AS CountryCount FROM car_makers AS T1 JOIN countries AS T2 ON T1.Country = T2.CountryId GROUP BY T2.Continent HAVING COUNT(T1.Id) > 2,"WITH capped_country AS (SELECT *, MIN(Country, 8.0) AS Country_capped FROM car_makers), dedup_car_makers AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Id ORDER BY rowid DESC) AS rn FROM capped_country), filtered_car_makers AS (SELECT * FROM dedup_car_makers WHERE rn = 1) SELECT COUNT(DISTINCT T2.Continent) AS CountryCount FROM filtered_car_makers AS T1 JOIN countries AS T2 ON T1.Country = T2.CountryId GROUP BY T2.Continent HAVING COUNT(T1.Id) > 2",1.0,1.0,0.726027397260274,0.726027397260274,0.7294520547945206,0.3271567536978496,271.5534087063321,-271.3958744597567,0.4246575342465753,1.0
stage2_9,car_1,rag_topk5,sc,SELECT COUNT(DISTINCT T2.Model) FROM car_makers AS T1 JOIN model_list AS T2 ON T1.Id = T2.Maker WHERE T1.Country = 'USA',"WITH car_makers_dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Country ORDER BY rowid DESC) AS rn FROM car_makers), model_list_dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Maker ORDER BY rowid DESC) AS rn FROM model_list) SELECT COUNT(DISTINCT T2.Model) FROM car_makers_dedup AS T1 JOIN model_list_dedup AS T2 ON T1.Id = T2.Maker WHERE T1.Country = 'USA'",0.0,0.0,0.726027397260274,0.726027397260274,0.7294520547945206,0.3271567536978496,271.5534087063321,-271.3958744597567,0.4246575342465753,1.0
