question_id,db_id,context,technique,basic_sql,robust_sql,rel_error_mean,abs_error_mean,dq_robust_1pct,dq_robust_2pct,dq_robust_5pct,mape,mae,bias,literal_acc,dq_note_coverage
stage2_0,car_1,rag_topk3,tot,"SELECT T2.MakeId, T2.Make FROM cars_data AS T1 JOIN car_names AS T2 ON T1.Id = T2.MakeId WHERE T1.Horsepower < (SELECT MIN(Horsepower) FROM cars_data) AND T1.Cylinders < 4","WITH capped_horsepower AS (SELECT *, MIN(Horsepower, 180.0) AS Horsepower_capped FROM cars_data), filtered_data AS (SELECT * FROM capped_horsepower WHERE Horsepower_capped < (SELECT MIN(Horsepower) FROM capped_horsepower) AND Cylinders < 4), deduplicated_data AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Id ORDER BY rowid DESC) AS rn FROM filtered_data) SELECT MakeId, Make FROM deduplicated_data WHERE rn = 1",0.0,0.0,0.569078947368421,0.5756578947368421,0.5855263157894737,88.83589454011697,426.05595941201176,-247.588200284957,0.38453947368421054,1.0
stage2_1,student_transcripts_tracking,rag_topk3,tot,"WITH cleaned_transcript_contents AS (SELECT student_course_id, MAX(rowid) AS max_rowid FROM Transcript_Contents GROUP BY student_course_id), cleaned_transcript_contents_with_enrollment AS (SELECT tcc.student_course_id, sec.enrolment_id FROM cleaned_transcript_contents AS cttc JOIN Transcript_Contents AS tc ON cttc.student_course_id = tc.student_course_id AND cttc.max_rowid = tc.rowid JOIN Student_Enrolment_Courses AS sec ON tc.student_course_id = sec.student_course_id) SELECT course_id, enrolment_id, COUNT(*) AS occurrence_count FROM cleaned_transcript_contents_with_enrollment GROUP BY course_id, enrolment_id ORDER BY occurrence_count DESC LIMIT 1","WITH base AS (SELECT * FROM Transcript_Contents), dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY student_course_id ORDER BY rowid DESC) AS rn FROM base), cleaned_transcript_contents AS (SELECT student_course_id, MAX(rowid) AS max_rowid FROM dedup GROUP BY student_course_id), base_sec AS (SELECT * FROM Student_Enrolment_Courses), dedup_sec AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY student_course_id ORDER BY rowid DESC) AS rn FROM base_sec), cleaned_transcript_contents_with_enrollment AS (SELECT tcc.student_course_id, sec.enrolment_id FROM cleaned_transcript_contents AS cttc JOIN dedup AS tc ON cttc.student_course_id = tc.student_course_id AND cttc.max_rowid = tc.rowid JOIN dedup_sec AS sec ON tc.student_course_id = sec.student_course_id) SELECT course_id, enrolment_id, COUNT(*) AS occurrence_count FROM cleaned_transcript_contents_with_enrollment GROUP BY course_id, enrolment_id ORDER BY occurrence_count DESC LIMIT 1",0.0,0.0,0.569078947368421,0.5756578947368421,0.5855263157894737,88.83589454011697,426.05595941201176,-247.588200284957,0.38453947368421054,1.0
stage2_2,student_transcripts_tracking,rag_topk3,tot,"SELECT s.semester_id, d.semester_name, COUNT(DISTINCT se.student_id) AS student_count FROM Students AS st JOIN Student_Enrolment AS se ON st.student_id = se.student_id JOIN Semesters AS s ON se.semester_id = s.semester_id GROUP BY s.semester_id, s.semester_name ORDER BY student_count DESC LIMIT 1","WITH base AS (SELECT st.student_id, se.semester_id, s.semester_name FROM Students AS st JOIN Student_Enrolment AS se ON st.student_id = se.student_id JOIN Semesters AS s ON se.semester_id = s.semester_id), dedup AS (SELECT student_id, semester_id, semester_name, ROW_NUMBER() OVER (PARTITION BY student_id ORDER BY rowid DESC) AS rn FROM base), filtered AS (SELECT student_id, semester_id, semester_name FROM dedup WHERE rn = 1) SELECT semester_id, semester_name, COUNT(DISTINCT student_id) AS student_count FROM filtered GROUP BY semester_id, semester_name ORDER BY student_count DESC LIMIT 1",0.0,0.0,0.569078947368421,0.5756578947368421,0.5855263157894737,88.83589454011697,426.05595941201176,-247.588200284957,0.38453947368421054,1.0
stage2_3,student_transcripts_tracking,rag_topk3,tot,SELECT DISTINCT s.last_name FROM Students AS s JOIN Addresses AS a ON s.permanent_address_id = a.address_id WHERE a.state_province_county = 'North Carolina' AND NOT s.student_id IN (SELECT se.student_id FROM Student_Enrolment AS se),"WITH dedup_students AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY student_id ORDER BY rowid DESC) AS rn FROM Students), filtered_students AS (SELECT * FROM dedup_students JOIN Addresses AS a ON dedup_students.permanent_address_id = a.address_id WHERE a.state_province_county = 'North Carolina'), non_enrolled_students AS (SELECT * FROM filtered_students WHERE NOT student_id IN (SELECT se.student_id FROM Student_Enrolment AS se)) SELECT DISTINCT non_enrolled_students.last_name",0.0,0.0,0.569078947368421,0.5756578947368421,0.5855263157894737,88.83589454011697,426.05595941201176,-247.588200284957,0.38453947368421054,1.0
stage2_4,car_1,rag_topk3,tot,SELECT COUNT(DISTINCT Continent) AS NumberOfContinents FROM continents,SELECT COUNT(DISTINCT Continent) AS NumberOfContinents FROM continents,0.0,0.0,0.569078947368421,0.5756578947368421,0.5855263157894737,88.83589454011697,426.05595941201176,-247.588200284957,0.38453947368421054,1.0
stage2_5,car_1,rag_topk3,tot,"SELECT DISTINCT T2.Id, T2.Maker FROM model_list AS T1 JOIN car_makers AS T2 ON T1.Maker = T2.Id GROUP BY T2.Id, T2.Maker HAVING COUNT(T1.ModelId) >= 2 AND COUNT(DISTINCT T2.Id) > 3","WITH model_counts AS (SELECT Maker, COUNT(ModelId) AS model_count FROM model_list GROUP BY Maker), filtered_makers AS (SELECT Maker FROM model_counts WHERE model_count >= 2), deduplicated_makers AS (WITH base AS (SELECT * FROM car_makers), dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Id ORDER BY rowid DESC) AS rn FROM base) SELECT * FROM dedup WHERE rn = 1) SELECT DISTINCT T2.Id, T2.Maker FROM filtered_makers AS FM JOIN deduplicated_makers AS T2 ON FM.Maker = T2.Id WHERE T2.Id IN (SELECT Id FROM car_makers GROUP BY Id HAVING COUNT(*) > 3)",0.0,0.0,0.569078947368421,0.5756578947368421,0.5855263157894737,88.83589454011697,426.05595941201176,-247.588200284957,0.38453947368421054,1.0
stage2_6,car_1,rag_topk3,tot,SELECT COUNT(*) FROM (SELECT Country FROM car_makers GROUP BY Country HAVING COUNT(Id) > 2),"WITH dedup_car_makers AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Country ORDER BY Id DESC) AS rn FROM car_makers), filtered_countries AS (SELECT Country FROM dedup_car_makers WHERE rn = 1 GROUP BY Country HAVING COUNT(Id) > 2) SELECT COUNT(*) FROM filtered_countries",1.0,4.0,0.569078947368421,0.5756578947368421,0.5855263157894737,88.83589454011697,426.05595941201176,-247.588200284957,0.38453947368421054,1.0
stage2_7,car_1,rag_topk3,tot,"WITH base AS (SELECT * FROM cars_data), dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Horsepower ORDER BY rowid DESC) AS rn FROM base), capped AS (SELECT *, MIN(Horsepower, 180.0) AS Horsepower_capped FROM cars_data), max_accelerate AS (SELECT MAX(Accelerate) AS max_acc FROM capped) SELECT COUNT(*) FROM capped AS c JOIN max_accelerate AS ma ON c.Accelerate > ma.max_acc","WITH base AS (SELECT * FROM cars_data), dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Horsepower ORDER BY rowid DESC) AS rn FROM base), capped AS (SELECT *, MIN(Horsepower, 180.0) AS Horsepower_capped FROM cars_data), max_accelerate AS (SELECT MAX(Accelerate) AS max_acc FROM capped) SELECT COUNT(*) FROM capped AS c JOIN max_accelerate AS ma ON c.Accelerate > ma.max_acc",0.0,0.0,0.569078947368421,0.5756578947368421,0.5855263157894737,88.83589454011697,426.05595941201176,-247.588200284957,0.38453947368421054,1.0
stage2_8,car_1,rag_topk3,tot,SELECT MIN(Weight) AS MinWeight FROM cars_data WHERE Cylinders = 8 AND Year = 1974,"WITH capped AS (SELECT *, MIN(Weight, 4464.0) AS Weight_capped FROM cars_data), dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Id ORDER BY rowid DESC) AS rn FROM capped) SELECT MIN(Weight_capped) AS MinWeight FROM dedup WHERE rn = 1 AND Cylinders = 8 AND Year = 1974",1.0,4141.0,0.569078947368421,0.5756578947368421,0.5855263157894737,88.83589454011697,426.05595941201176,-247.588200284957,0.38453947368421054,1.0
stage2_9,student_transcripts_tracking,rag_topk3,tot,SELECT DISTINCT s.last_name FROM Students AS s JOIN Addresses AS a ON s.current_address_id = a.address_id WHERE a.state_province_county = 'North Carolina' AND NOT s.student_id IN (SELECT se.student_id FROM Student_Enrolment AS se),"WITH filtered_students AS (SELECT DISTINCT s.last_name FROM Students AS s JOIN Addresses AS a ON s.current_address_id = a.address_id WHERE a.state_province_county = 'North Carolina'), excluded_students AS (SELECT se.student_id FROM Student_Enrolment AS se) SELECT DISTINCT fs.last_name FROM filtered_students AS fs LEFT JOIN excluded_students AS es ON fs.student_id = es.student_id WHERE es.student_id IS NULL",0.0,0.0,0.569078947368421,0.5756578947368421,0.5855263157894737,88.83589454011697,426.05595941201176,-247.588200284957,0.38453947368421054,1.0
