question_id,db_id,category,technique,plan_steps,basic_sql,robust_sql,notes,exact_match,exec_match,select_precision,select_recall,select_f1,where_precision,where_recall,where_f1,group_precision,group_recall,group_f1,order_precision,order_recall,order_f1,having_precision,having_recall,having_f1
stage1_0,car_1,filter_agg,tot,6,SELECT COUNT(Id) AS CarCount FROM (SELECT DISTINCT Id FROM cars_data WHERE Cylinders > 6),WITH cleaned_cars_data AS (SELECT DISTINCT Id FROM cars_data WHERE Cylinders > 6 AND NOT Cylinders IS NULL AND Cylinders <> '') SELECT COUNT(Id) AS CarCount FROM cleaned_cars_data,## NOTES | No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_1,cre_Doc_Template_Mgt,filter_agg,tot,3,SELECT COUNT(*) AS Total_Documents FROM Documents,"WITH dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Document_ID ORDER BY rowid DESC) AS rn FROM Documents) SELECT COUNT(*) AS Total_Documents FROM dedup WHERE rn = 1",### NOTES | No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_2,orchestra,filter_agg,tot,4,SELECT COUNT(DISTINCT Nationality) AS Number_of_Distinct_Nationalities FROM conductor,SELECT COUNT(DISTINCT Nationality) AS Number_of_Distinct_Nationalities FROM conductor,No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_3,dog_kennels,filter_agg,tot,4,SELECT AVG(CAST(age AS REAL)) AS avg_age FROM Dogs,"WITH base AS (SELECT * FROM Dogs), dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY dog_id ORDER BY rowid DESC) AS rn FROM base) SELECT AVG(CAST(age AS REAL)) AS avg_age FROM dedup WHERE rn = 1",### NOTES | No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_4,student_transcripts_tracking,filter_agg,tot,5,SELECT * FROM Sections WHERE section_name = 'h',"WITH base AS (SELECT * FROM Sections), dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY section_id ORDER BY rowid DESC) AS rn FROM base), filtered AS (SELECT * FROM dedup WHERE rn = 1 AND section_name = 'h'), capped AS (SELECT *, section_id AS section_id_capped FROM filtered) SELECT * FROM capped",### NOTES | No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_5,cre_Doc_Template_Mgt,filter_agg,tot,5,"SELECT DISTINCT Template_ID FROM Templates WHERE Template_Type_Code IN ('PP', 'PPT')","WITH filtered AS (SELECT * FROM Templates WHERE Template_Type_Code IN ('PP', 'PPT')), dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Template_ID ORDER BY rowid DESC) AS rn FROM filtered) SELECT Template_ID FROM dedup WHERE rn = 1",### NOTES | No quality-repairs required.,False,True,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_6,orchestra,filter_agg,tot,6,SELECT Name FROM conductor WHERE Nationality <> 'USA',"WITH dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Conductor_ID ORDER BY rowid DESC) AS rn FROM conductor) SELECT Name FROM dedup WHERE rn = 1 AND Nationality <> 'USA'",### NOTES | No quality-repairs required.,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_7,student_transcripts_tracking,filter_agg,tot,6,SELECT COUNT(*) AS total_courses FROM (SELECT DISTINCT course_id FROM Courses),"WITH capped AS (SELECT *, CASE WHEN course_id > 14.0 THEN 14.0 ELSE course_id END AS course_id_capped FROM Courses), dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY course_id_capped ORDER BY rowid DESC) AS rn FROM capped) SELECT COUNT(*) AS total_courses FROM dedup WHERE rn = 1",### NOTES | No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_8,car_1,filter_agg,tot,6,SELECT AVG(CAST(MPG AS REAL)) AS AvgMPG FROM cars_data WHERE Cylinders = 4,"WITH filtered_cars AS (SELECT DISTINCT Id, MPG, Cylinders FROM cars_data WHERE Cylinders = 4), imputed_cars AS (SELECT Id, CASE WHEN MPG IS NULL THEN (SELECT median_MPG FROM (SELECT PERCENTILE_CONT(0.5) WITHIN GROUP (ORDER BY CAST(MPG AS REAL)) AS median_MPG FROM cars_data)) ELSE CAST(MPG AS REAL) END AS MPG, Cylinders FROM filtered_cars) SELECT AVG(MPG) AS AvgMPG FROM imputed_cars",## NOTES | No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_9,cre_Doc_Template_Mgt,filter_agg,tot,3,SELECT COUNT(DISTINCT Template_ID) AS Unique_Templates FROM Documents,"WITH dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Template_ID ORDER BY rowid DESC) AS rn FROM Documents) SELECT COUNT(DISTINCT Template_ID) AS Unique_Templates FROM dedup WHERE rn = 1",### NOTES | No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
