question_id,db_id,context,technique,basic_sql,robust_sql,rel_error_mean,abs_error_mean,dq_robust_1pct,dq_robust_2pct,dq_robust_5pct,mape,mae,bias,literal_acc,dq_note_coverage
stage2_0,car_1,rag_topk5,sc,SELECT MAX(MPG) AS MaxMPG FROM cars_data WHERE Cylinders = 8 OR Year < 1980,"WITH capped_cars AS (SELECT *, CASE WHEN Cylinders > 8 THEN 8 ELSE Cylinders END AS Cylinders_capped, CASE WHEN Year > 1980 THEN 1980 ELSE Year END AS Year_capped FROM cars_data), dedup_cars AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Cylinders_capped, Year_capped ORDER BY rowid DESC) AS rn FROM capped_cars) SELECT MAX(MPG) AS MaxMPG FROM dedup_cars WHERE rn = 1 AND (Cylinders_capped = 8 OR Year_capped < 1980)",0.0,0.0,0.7813504823151125,0.7845659163987139,0.797427652733119,10.216753879708287,134.3848383980954,-113.93094494942423,0.37057877813504825,1.0
stage2_1,car_1,rag_topk5,sc,SELECT MIN(Weight) AS Min_Weight FROM cars_data WHERE Cylinders = 8 AND Year = 1974,"WITH capped AS (SELECT *, MIN(Cylinders, 8.0) AS Cylinders_capped, MIN(Weight, 4464.0) AS Weight_capped, MIN(Year, 1982.0) AS Year_capped FROM cars_data), dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Id ORDER BY rowid DESC) AS rn FROM capped) SELECT MIN(Weight_capped) AS Min_Weight FROM dedup WHERE rn = 1",1.0,4141.0,0.7813504823151125,0.7845659163987139,0.797427652733119,10.216753879708287,134.3848383980954,-113.93094494942423,0.37057877813504825,1.0
stage2_2,car_1,rag_topk5,sc,"SELECT AVG(CAST(REPLACE(Horsepower, ',', '') AS REAL)) AS AvgHorsepower FROM cars_data WHERE CAST(REPLACE(Horsepower, ',', '') AS REAL) < 1980","WITH cleaned_data AS (SELECT *, REPLACE(Horsepower, ',', '') AS Horsepower_cleaned, MIN(CAST(REPLACE(Horsepower, ',', '') AS REAL), 180.0) AS Horsepower_capped FROM cars_data), deduplicated_data AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Id ORDER BY rowid DESC) AS rn FROM cleaned_data) SELECT AVG(CAST(Horsepower_capped AS REAL)) AS AvgHorsepower FROM deduplicated_data WHERE rn = 1 AND CAST(Horsepower_capped AS REAL) < 1980",0.0,0.0,0.7813504823151125,0.7845659163987139,0.797427652733119,10.216753879708287,134.3848383980954,-113.93094494942423,0.37057877813504825,1.0
stage2_3,car_1,rag_topk5,sc,SELECT AVG(cars_data.Edispl) AS AvgEdispl FROM car_makers JOIN cars_data ON car_makers.Maker = cars_data.Horsepower WHERE car_makers.Maker = 'VOLVO',"WITH car_makers_dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Id ORDER BY rowid DESC) AS rn FROM car_makers), cars_data_dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Id ORDER BY rowid DESC) AS rn FROM cars_data) SELECT AVG(cars_data_dedup.Edispl) AS AvgEdispl FROM car_makers_dedup JOIN cars_data_dedup ON car_makers_dedup.Maker = cars_data_dedup.Horsepower WHERE car_makers_dedup.Maker = 'VOLVO'",0.0,0.0,0.7813504823151125,0.7845659163987139,0.797427652733119,10.216753879708287,134.3848383980954,-113.93094494942423,0.37057877813504825,1.0
stage2_4,student_transcripts_tracking,rag_topk5,sc,"SELECT c.course_id, c.course_name, COUNT(s.section_id) AS section_count FROM Courses AS c JOIN Sections AS s ON c.course_id = s.course_id GROUP BY c.course_id, c.course_name HAVING COUNT(s.section_id) <= 2","WITH capped_sections AS (SELECT *, MIN(section_id, 14.0) AS section_id_capped FROM Sections), dedup_sections AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY section_id ORDER BY rowid DESC) AS rn FROM capped_sections) SELECT c.course_id, c.course_name, COUNT(dedup_sections.section_id) AS section_count FROM Courses AS c JOIN dedup_sections ON c.course_id = dedup_sections.course_id AND dedup_sections.rn = 1 GROUP BY c.course_id, c.course_name HAVING COUNT(dedup_sections.section_id) <= 2",0.0,0.0,0.7813504823151125,0.7845659163987139,0.797427652733119,10.216753879708287,134.3848383980954,-113.93094494942423,0.37057877813504825,1.0
stage2_5,car_1,rag_topk5,sc,"SELECT c.Continent, COUNT(co.CountryName) AS CountryCount FROM continents AS c JOIN countries AS co ON c.ContId = co.Continent GROUP BY c.Continent","WITH dedup_continents AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY ContId ORDER BY rowid DESC) AS rn FROM continents), dedup_countries AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY CountryId ORDER BY rowid DESC) AS rn FROM countries) SELECT dc.Continent, COUNT(dco.CountryName) AS CountryCount FROM dedup_continents AS dc JOIN dedup_countries AS dco ON dc.ContId = dco.Continent WHERE dc.rn = 1 AND dco.rn = 1 GROUP BY dc.Continent",0.0,0.0,0.7813504823151125,0.7845659163987139,0.797427652733119,10.216753879708287,134.3848383980954,-113.93094494942423,0.37057877813504825,1.0
stage2_6,student_transcripts_tracking,rag_topk5,sc,"SELECT dp.degree_summary_name, COUNT(se.student_enrolment_id) AS enrolment_count FROM Student_Enrolment AS se JOIN Degree_Programs AS dp ON se.degree_program_id = dp.degree_program_id GROUP BY dp.degree_summary_name ORDER BY enrolment_count DESC LIMIT 1","WITH normalized_se AS (SELECT student_enrolment_id, degree_program_id, ROW_NUMBER() OVER (PARTITION BY student_enrolment_id ORDER BY rowid DESC) AS rn FROM Student_Enrolment), normalized_dp AS (SELECT degree_program_id, degree_summary_name, ROW_NUMBER() OVER (PARTITION BY degree_program_id ORDER BY rowid DESC) AS rn FROM Degree_Programs), dedup_se AS (SELECT * FROM normalized_se WHERE rn = 1), dedup_dp AS (SELECT * FROM normalized_dp WHERE rn = 1) SELECT dd.degree_summary_name, COUNT(dse.student_enrolment_id) AS enrolment_count FROM dedup_se AS dse JOIN dedup_dp AS dd ON dse.degree_program_id = dd.degree_program_id GROUP BY dd.degree_summary_name ORDER BY enrolment_count DESC LIMIT 1",0.0,0.0,0.7813504823151125,0.7845659163987139,0.797427652733119,10.216753879708287,134.3848383980954,-113.93094494942423,0.37057877813504825,1.0
stage2_7,car_1,rag_topk5,sc,SELECT COUNT(DISTINCT T2.Model) FROM car_makers AS T1 JOIN model_list AS T2 ON T1.Id = T2.Maker WHERE T1.Maker = 'American Motor Company',"WITH cleaned_car_makers AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Maker ORDER BY rowid DESC) AS rn FROM car_makers), cleaned_model_list AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Maker ORDER BY rowid DESC) AS rn FROM model_list) SELECT COUNT(DISTINCT T2.Model) FROM cleaned_car_makers AS T1 JOIN cleaned_model_list AS T2 ON T1.Id = T2.Maker WHERE T1.Maker = 'American Motor Company' AND T1.rn = 1 AND T2.rn = 1",0.0,0.0,0.7813504823151125,0.7845659163987139,0.797427652733119,10.216753879708287,134.3848383980954,-113.93094494942423,0.37057877813504825,1.0
stage2_8,car_1,rag_topk5,sc,SELECT COUNT(DISTINCT T2.CountryName) AS CountryCount FROM car_makers AS T1 JOIN countries AS T2 ON T1.Country = T2.CountryId GROUP BY T2.Continent HAVING COUNT(T1.Maker) > 2,"WITH country_makers AS (SELECT DISTINCT T2.CountryName, T2.Continent FROM car_makers AS T1 JOIN countries AS T2 ON T1.Country = T2.CountryId), dedup_countries AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY CountryName ORDER BY rowid DESC) AS rn FROM country_makers) SELECT COUNT(DISTINCT CASE WHEN rn = 1 THEN CountryName END) AS CountryCount FROM dedup_countries GROUP BY Continent HAVING COUNT(CASE WHEN rn = 1 THEN Maker END) > 2",1.0,1.0,0.7813504823151125,0.7845659163987139,0.797427652733119,10.216753879708287,134.3848383980954,-113.93094494942423,0.37057877813504825,1.0
stage2_9,car_1,rag_topk5,sc,SELECT COUNT(DISTINCT T3.Model) FROM car_makers AS T1 JOIN model_list AS T2 ON T1.Id = T2.Maker JOIN car_names AS T3 ON T2.Model = T3.Model WHERE T1.Country = 'USA',"WITH safe_car_makers AS (SELECT *, CASE WHEN Country > 8.0 THEN 8.0 ELSE Country END AS Country_capped, ROW_NUMBER() OVER (PARTITION BY Country ORDER BY rowid DESC) AS rn FROM car_makers), dedup_safe_car_makers AS (SELECT * FROM safe_car_makers WHERE rn = 1), safe_model_list AS (SELECT *, CASE WHEN Maker > 8.0 THEN 8.0 ELSE Maker END AS Maker_capped, ROW_NUMBER() OVER (PARTITION BY Maker ORDER BY rowid DESC) AS rn FROM model_list), dedup_safe_model_list AS (SELECT * FROM safe_model_list WHERE rn = 1), safe_car_names AS (SELECT *, CASE WHEN Make > 0 THEN Make ELSE 0 END AS Make_capped, ROW_NUMBER() OVER (PARTITION BY Make ORDER BY rowid DESC) AS rn FROM car_names), dedup_safe_car_names AS (SELECT * FROM safe_car_names WHERE rn = 1) SELECT COUNT(DISTINCT T3.Model) FROM dedup_safe_car_makers AS T1 JOIN dedup_safe_model_list AS T2 ON T1.Id = T2.Maker JOIN dedup_safe_car_names AS T3 ON T2.Model = T3.Model WHERE T1.Country_capped = 8.0",0.0,0.0,0.7813504823151125,0.7845659163987139,0.797427652733119,10.216753879708287,134.3848383980954,-113.93094494942423,0.37057877813504825,1.0
