question_id,db_id,context,technique,basic_sql,robust_sql,rel_error_mean,abs_error_mean,dq_robust_1pct,dq_robust_2pct,dq_robust_5pct,mape,mae,bias,literal_acc,dq_note_coverage
stage2_0,car_1,rag_topk5,sc,SELECT MAX(MPG) AS MaxMPG FROM cars_data WHERE Cylinders = 8 OR Year < 1980,"WITH capped_cylinders AS (SELECT *, CASE WHEN Cylinders > 8 THEN 8 ELSE Cylinders END AS Cylinders_capped FROM cars_data), capped_years AS (SELECT *, CASE WHEN Year > 1980 THEN 1980 ELSE Year END AS Year_capped FROM capped_cylinders) SELECT MAX(MPG) AS MaxMPG FROM capped_years WHERE Cylinders_capped = 8 OR Year_capped < 1980",0.0,0.0,0.69,0.69,0.6966666666666667,0.2999994514559492,245.41264973436017,-244.55931640102682,0.38166666666666665,1.0
stage2_1,car_1,rag_topk5,sc,SELECT MIN(Weight) AS MinWeight FROM cars_data WHERE Cylinders = 8 AND Year = 1974,"WITH capped AS (SELECT *, MIN(Cylinders, 8.0) AS Cylinders_capped, MIN(Weight, 4464.0) AS Weight_capped FROM cars_data), filtered AS (SELECT * FROM capped WHERE Cylinders_capped = 8 AND Year = 1974) SELECT MIN(Weight_capped) AS MinWeight FROM filtered",0.0,0.0,0.69,0.69,0.6966666666666667,0.2999994514559492,245.41264973436017,-244.55931640102682,0.38166666666666665,1.0
stage2_2,car_1,rag_topk5,sc,"SELECT AVG(CAST(REPLACE(T1.Horsepower, ',', '') AS REAL)) AS AvgHorsepower FROM cars_data AS T1 JOIN countries AS T2 ON T1.Id = T2.CountryId WHERE T1.Year < 1980","WITH safe_horsepower AS (SELECT *, MIN(CAST(REPLACE(Horsepower, ',', '') AS REAL), 180.0) AS Horsepower_capped FROM cars_data), safe_year AS (SELECT *, MIN(Year, 1982.0) AS Year_capped FROM cars_data), dedup_safe_horsepower AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Horsepower_capped ORDER BY rowid DESC) AS rn FROM safe_horsepower), dedup_safe_year AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Year_capped ORDER BY rowid DESC) AS rn FROM safe_year) SELECT AVG(dedup_safe_horsepower.Horsepower_capped) AS AvgHorsepower FROM dedup_safe_horsepower JOIN dedup_safe_year ON dedup_safe_horsepower.Id = dedup_safe_year.Id WHERE dedup_safe_year.Year_capped < 1980",0.0,0.0,0.69,0.69,0.6966666666666667,0.2999994514559492,245.41264973436017,-244.55931640102682,0.38166666666666665,1.0
stage2_3,car_1,rag_topk5,sc,SELECT AVG(T2.Edispl) AS Avg_Edispl FROM car_makers AS T1 JOIN cars_data AS T2 ON T1.Id = T2.MakeId WHERE T1.Maker = 'Volvo',"WITH safe_values AS (SELECT *, MIN(CASE WHEN Edispl > 400 THEN Edispl ELSE 400 END) AS Edispl_capped, MIN(CASE WHEN Horsepower > 180 THEN Horsepower ELSE 180 END) AS Horsepower_capped FROM cars_data), deduped_cars_data AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Edispl ORDER BY rowid DESC) AS rn FROM safe_values) SELECT AVG(deduped_cars_data.Edispl_capped) AS Avg_Edispl FROM car_makers AS T1 JOIN deduped_cars_data AS T2 ON T1.Id = T2.MakeId WHERE T1.Maker = 'Volvo' AND T2.rn = 1",0.0,0.0,0.69,0.69,0.6966666666666667,0.2999994514559492,245.41264973436017,-244.55931640102682,0.38166666666666665,1.0
stage2_4,student_transcripts_tracking,rag_topk5,sc,"SELECT c.course_id, c.course_name FROM Sections AS s JOIN Courses AS c ON s.course_id = c.course_id GROUP BY c.course_id, c.course_name HAVING COUNT(s.section_id) <= 2","WITH capped_sections AS (SELECT *, MIN(course_id, 14.0) AS course_id_capped FROM Sections), dedup_sections AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY course_id ORDER BY rowid DESC) AS rn FROM capped_sections) SELECT c.course_id, c.course_name FROM dedup_sections AS s JOIN Courses AS c ON s.course_id = c.course_id GROUP BY c.course_id, c.course_name HAVING COUNT(s.section_id) <= 2",0.0,0.0,0.69,0.69,0.6966666666666667,0.2999994514559492,245.41264973436017,-244.55931640102682,0.38166666666666665,1.0
stage2_5,car_1,rag_topk5,sc,"SELECT c.Continent, ct.Continent, COUNT(ct.CountryName) AS CountryCount FROM countries AS c JOIN continents AS ct ON c.Continent = ct.ContId GROUP BY c.Continent, ct.Continent","WITH dedup_countries AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY CountryId ORDER BY rowid DESC) AS rn FROM countries), dedup_continents AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY ContId ORDER BY rowid DESC) AS rn FROM continents) SELECT dc.Continent, dd_continent.Continent, COUNT(ddc.CountryName) AS CountryCount FROM dedup_countries AS ddc JOIN dedup_continents AS dd_continent ON ddc.Continent = dd_continent.ContId WHERE ddc.rn = 1 AND dd_continent.rn = 1 GROUP BY dc.Continent, dd_continent.Continent",0.0,0.0,0.69,0.69,0.6966666666666667,0.2999994514559492,245.41264973436017,-244.55931640102682,0.38166666666666665,1.0
stage2_6,student_transcripts_tracking,rag_topk5,sc,"SELECT dp.degree_summary_name, COUNT(se.student_enrolment_id) AS enrollment_count FROM Student_Enrolment AS se JOIN Degree_Programs AS dp ON se.degree_program_id = dp.degree_program_id GROUP BY dp.degree_summary_name ORDER BY enrollment_count DESC LIMIT 1","WITH normalized_se AS (SELECT student_enrolment_id, degree_program_id, ROW_NUMBER() OVER (PARTITION BY student_enrolment_id ORDER BY rowid DESC) AS rn FROM Student_Enrolment), normalized_dp AS (SELECT degree_program_id, degree_summary_name FROM Degree_Programs), joined_data AS (SELECT ndp.degree_summary_name, nse.degree_program_id FROM normalized_se AS nse JOIN normalized_dp AS ndp ON nse.degree_program_id = ndp.degree_program_id WHERE nse.rn = 1) SELECT degree_summary_name, COUNT(degree_program_id) AS enrollment_count FROM joined_data GROUP BY degree_summary_name ORDER BY enrollment_count DESC LIMIT 1",0.0,0.0,0.69,0.69,0.6966666666666667,0.2999994514559492,245.41264973436017,-244.55931640102682,0.38166666666666665,1.0
stage2_7,car_1,rag_topk5,sc,SELECT COUNT(DISTINCT T2.Model) FROM car_makers AS T1 JOIN model_list AS T2 ON T1.Id = T2.Maker WHERE T1.Maker = 'American Motor Company',"WITH car_makers_dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Id ORDER BY rowid DESC) AS rn FROM car_makers), model_list_dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY ModelId ORDER BY rowid DESC) AS rn FROM model_list) SELECT COUNT(DISTINCT T2.Model) FROM car_makers_dedup AS T1 JOIN model_list_dedup AS T2 ON T1.Id = T2.Maker WHERE T1.Maker = 'American Motor Company'",0.0,0.0,0.69,0.69,0.6966666666666667,0.2999994514559492,245.41264973436017,-244.55931640102682,0.38166666666666665,1.0
stage2_8,car_1,rag_topk5,sc,SELECT COUNT(DISTINCT T2.CountryName) AS CountryCount FROM car_makers AS T1 JOIN countries AS T2 ON T1.Country = T2.CountryId WHERE T1.Maker < 8.0,"WITH capped_makers AS (SELECT *, MIN(Maker, 8.0) AS Maker_capped FROM car_makers), dedup_countries AS (SELECT DISTINCT CountryId, CountryName FROM countries), dedup_makers AS (SELECT DISTINCT Id, Maker_capped FROM capped_makers) SELECT COUNT(dedup_countries.CountryName) AS CountryCount FROM dedup_makers JOIN countries AS dedup_countries ON dedup_makers.Maker_capped = dedup_countries.CountryId WHERE dedup_makers.Maker_capped < 8.0",0.0,0.0,0.69,0.69,0.6966666666666667,0.2999994514559492,245.41264973436017,-244.55931640102682,0.38166666666666665,1.0
stage2_9,car_1,rag_topk5,sc,SELECT COUNT(DISTINCT T2.Model) FROM car_makers AS T1 JOIN model_list AS T2 ON T1.Id = T2.Maker WHERE T1.Country = 'USA',"WITH clean_car_makers AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Country ORDER BY rowid DESC) AS rn FROM car_makers), dedup_clean_car_makers AS (SELECT * FROM clean_car_makers WHERE rn = 1), capped_clean_car_makers AS (SELECT *, MIN(Country, 8.0) AS Country_capped FROM dedup_clean_car_makers) SELECT COUNT(DISTINCT T2.Model) FROM capped_clean_car_makers AS T1 JOIN model_list AS T2 ON T1.Id = T2.Maker WHERE T1.Country_capped = 'USA'",0.0,0.0,0.69,0.69,0.6966666666666667,0.2999994514559492,245.41264973436017,-244.55931640102682,0.38166666666666665,1.0
