question_id,db_id,category,technique,plan_steps,basic_sql,robust_sql,notes,exact_match,exec_match,select_precision,select_recall,select_f1,where_precision,where_recall,where_f1,group_precision,group_recall,group_f1,order_precision,order_recall,order_f1,having_precision,having_recall,having_f1
stage1_0,car_1,filter_agg,sc,6,SELECT COUNT(Id) AS CarCount FROM cars_data WHERE Cylinders > 6,WITH CleanCarsData AS (SELECT DISTINCT Id FROM cars_data) SELECT COUNT(CleanCarsData.Id) AS CarCount FROM CleanCarsData WHERE CleanCarsData.Cylinders > 6,### NOTES | No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_1,cre_Doc_Template_Mgt,filter_agg,sc,6,SELECT COUNT(DISTINCT Document_ID) AS Total_Documents FROM Documents,"WITH dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Document_ID ORDER BY rowid DESC) AS rn FROM Documents) SELECT COUNT(DISTINCT Document_ID) AS Total_Documents FROM dedup WHERE rn = 1",### NOTES | No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_2,orchestra,filter_agg,sc,5,SELECT COUNT(DISTINCT Nationality) AS Different_Nationalities FROM conductor,WITH dedup AS (SELECT Nationality FROM conductor GROUP BY Nationality) SELECT COUNT(*) AS Different_Nationalities FROM dedup,### NOTES | No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_3,dog_kennels,filter_agg,sc,6,SELECT AVG(CAST(age AS REAL)) AS avg_age FROM Dogs,"WITH base AS (SELECT * FROM Dogs), dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY dog_id ORDER BY rowid DESC) AS rn FROM base) SELECT AVG(CAST(age_capped AS REAL)) AS avg_age FROM (WITH capped AS (SELECT *, MIN(age, 9.0) AS age_capped FROM dedup) SELECT * FROM capped)",### NOTES | No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_4,student_transcripts_tracking,filter_agg,sc,8,"SELECT section_id, section_name, section_description FROM Sections WHERE section_name = 'h'","WITH base_sections AS (SELECT * FROM Sections), dedup_section_name AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY section_name ORDER BY rowid DESC) AS rn FROM base_sections), filtered_section_name AS (SELECT * FROM dedup_section_name WHERE rn = 1), dedup_section_description AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY section_description ORDER BY rowid DESC) AS rn FROM base_sections), filtered_section_description AS (SELECT * FROM dedup_section_description WHERE rn = 1), capped_section_id AS (SELECT *, MIN(section_id, 14.0) AS section_id_capped FROM base_sections), final_result AS (SELECT section_id_capped AS section_id, section_name, section_description FROM filtered_section_name JOIN filtered_section_description ON filtered_section_name.rowid = filtered_section_description.rowid JOIN capped_section_id ON filtered_section_name.rowid = capped_section_id.rowid) SELECT section_id, section_name, section_description FROM final_result WHERE section_name = 'h'",### NOTES | No quality-repairs required.,False,False,0.3333333333333333,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_5,cre_Doc_Template_Mgt,filter_agg,sc,5,"SELECT DISTINCT Template_ID FROM Templates WHERE Template_Type_Code IN ('PP', 'PPT')","WITH filtered AS (SELECT DISTINCT Template_ID FROM Templates WHERE Template_Type_Code IN ('PP', 'PPT')) SELECT * FROM filtered",### NOTES | No quality-repairs required.,False,True,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_6,orchestra,filter_agg,sc,4,SELECT Name FROM conductor WHERE Nationality <> 'USA',"WITH dedup AS (SELECT *, ROW_NUMBER() OVER (PARTITION BY Conductor_ID ORDER BY rowid DESC) AS rn FROM conductor), filtered AS (SELECT * FROM dedup WHERE rn = 1 AND Nationality <> 'USA') SELECT Name FROM filtered",### NOTES | No quality-repairs required.,True,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_7,student_transcripts_tracking,filter_agg,sc,6,SELECT COUNT(DISTINCT course_id) AS total_courses FROM Courses,WITH dedup AS (SELECT DISTINCT course_id FROM Courses) SELECT COUNT(*) AS total_courses FROM dedup,### NOTES | No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_8,car_1,filter_agg,sc,4,SELECT AVG(CAST(MPG AS REAL)) AS AvgMPG FROM cars_data WHERE Cylinders = 4,"WITH cleaned_cars_data AS (SELECT Id, CASE WHEN NOT MPG IS NULL AND REGEXP_LIKE(REPLACE(MPG, ',', ''), '^[0-9]+(\.[0-9]+)?$') THEN CAST(REPLACE(MPG, ',', '') AS REAL) ELSE NULL END AS MPG FROM cars_data) SELECT AVG(COALESCE(MPG, 0)) AS AvgMPG FROM cleaned_cars_data WHERE Cylinders = 4",### NOTES | No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
stage1_9,cre_Doc_Template_Mgt,filter_agg,sc,3,SELECT COUNT(DISTINCT Template_ID) AS Unique_Templates FROM Documents,WITH dedup AS (SELECT DISTINCT Template_ID FROM Documents) SELECT COUNT(*) AS Unique_Templates FROM dedup,### NOTES | No quality-repairs required.,False,False,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
